County,Year,Fertility Rate
"Baltimore County, MD",2013.0,1.6712331900000006
"Baltimore County, MD",2014.0,1.75132419
"Baltimore County, MD",2015.0,1.7287589
"Baltimore city, MD",2007.0,1.8848037899999996
"Baltimore city, MD",2008.0,1.9061738700000002
"Baltimore city, MD",2009.0,1.82062155
"Baltimore city, MD",2010.0,1.70210449
"Baltimore city, MD",2011.0,1.70281309
"Baltimore city, MD",2012.0,1.7389829300000001
"Baltimore city, MD",2013.0,1.6835555799999995
"Baltimore city, MD",2014.0,1.6857484500000002
"Baltimore city, MD",2015.0,1.6468772800000002
"Barnstable County, MA",2007.0,2.1343726100000002
"Barnstable County, MA",2008.0,1.9885356100000005
"Barnstable County, MA",2009.0,1.9411810199999997
"Barnstable County, MA",2010.0,1.8581597900000004
"Barnstable County, MA",2011.0,1.7185874099999996
"Barnstable County, MA",2012.0,1.69676651
"Barnstable County, MA",2013.0,1.6031347099999997
"Barnstable County, MA",2014.0,1.6278028700000002
"Barnstable County, MA",2015.0,1.5633707099999998
"Bartow County, GA",2014.0,2.0115928100000002
"Bartow County, GA",2015.0,1.9505848000000001
"Bay County, FL",2007.0,2.0600688400000005
"Bay County, FL",2008.0,2.172638959999999
"Bay County, FL",2009.0,2.1104854100000003
"Bay County, FL",2010.0,1.9935233700000001
"Bay County, FL",2011.0,1.9431365700000003
"Bay County, FL",2012.0,2.05120137
"Bay County, FL",2013.0,1.9755060200000003
"Bay County, FL",2014.0,2.0067996
"Bay County, FL",2015.0,2.0514231599999997
"Bay County, MI",2007.0,1.9541563
"Bay County, MI",2008.0,1.8544117000000004
"Bay County, MI",2009.0,1.8488762300000003
"Bay County, MI",2010.0,1.8312168500000001
"Bay County, MI",2011.0,1.77314168
"Bay County, MI",2012.0,1.6387199700000001
"Bay County, MI",2013.0,1.6158489299999999
"Bay County, MI",2014.0,1.63979575
"Bay County, MI",2015.0,1.6597123600000006
"Beaufort County, SC",2007.0,2.5302797400000006
"Beaufort County, SC",2008.0,2.43857464
"Beaufort County, SC",2009.0,2.15242181
"Beaufort County, SC",2010.0,2.21971016
"Beaufort County, SC",2011.0,2.0534223400000005
"Beaufort County, SC",2012.0,2.0433766800000006
"Beaufort County, SC",2013.0,2.0876877499999997
"Beaufort County, SC",2014.0,2.0171219000000002
"Beaufort County, SC",2015.0,2.0143438400000004
"Beaver County, PA",2007.0,1.95285444
"Beaver County, PA",2008.0,1.9397998200000002
"Beaver County, PA",2009.0,1.8944103700000006
"Beaver County, PA",2010.0,1.8658040899999997
"Beaver County, PA",2011.0,1.8117308899999995
"Beaver County, PA",2012.0,1.8156565899999997
"Beaver County, PA",2013.0,1.77860931
"Beaver County, PA",2014.0,1.86685172
"Beaver County, PA",2015.0,1.7504626799999996
"Bell County, TX",2007.0,2.5060786299999993
"Bell County, TX",2008.0,2.4826396600000002
"Bell County, TX",2009.0,2.34864569
"Bell County, TX",2010.0,2.48346714
"Bell County, TX",2011.0,2.34335071
"Bell County, TX",2012.0,2.2951547200000006
"Bell County, TX",2013.0,2.35173526
"Bell County, TX",2014.0,2.3164166899999996
"Bell County, TX",2015.0,2.39996295
"Benton County, AR",2007.0,2.4004073099999994
"Benton County, AR",2008.0,2.2670346200000004
"Benton County, AR",2009.0,2.1957064799999997
"Benton County, AR",2010.0,2.0936135900000004
"Benton County, AR",2011.0,2.1431989600000003
"Benton County, AR",2012.0,2.10687275
"Benton County, AR",2013.0,2.03246987
"Benton County, AR",2014.0,2.1758471599999996
"Benton County, AR",2015.0,2.1308816700000004
"Benton County, WA",2007.0,2.39187546
"Benton County, WA",2008.0,2.3211705699999996
"Benton County, WA",2009.0,2.26780317
"Benton County, WA",2010.0,2.2528184099999997
"Benton County, WA",2011.0,2.1874545299999997
"Benton County, WA",2012.0,2.15333667
"Benton County, WA",2013.0,2.1131342799999997
"Benton County, WA",2014.0,2.2093480499999996
"Benton County, WA",2015.0,2.16810584
"Bergen County, NJ",2007.0,1.8384526299999997
"Bergen County, NJ",2008.0,1.7769379299999999
"Bergen County, NJ",2009.0,1.7242507099999997
"Bergen County, NJ",2010.0,1.6860062500000002
"Bergen County, NJ",2011.0,1.6376109199999995
"Bergen County, NJ",2012.0,1.6176296999999997
"Bergen County, NJ",2013.0,1.6288023500000002
"Bergen County, NJ",2014.0,1.63662994
"Bergen County, NJ",2015.0,1.6306043100000005
"Berkeley County, SC",2007.0,2.12029759
"Berkeley County, SC",2008.0,2.2344831999999992
"Berkeley County, SC",2009.0,2.03472469
"Berkeley County, SC",2010.0,1.97831016
"Berkeley County, SC",2011.0,1.9512134199999993
"Berkeley County, SC",2012.0,1.9335810799999997
"Berkeley County, SC",2013.0,1.9198322799999998
"Berkeley County, SC",2014.0,1.9413904899999994
"Berkeley County, SC",2015.0,1.9585921800000003
"Berkeley County, WV",2014.0,1.8636310400000002
"Berkeley County, WV",2015.0,1.8951541699999999
"Berks County, PA",2007.0,2.06946878
"Berks County, PA",2008.0,2.0398601
"Berks County, PA",2009.0,2.01183483
"Berks County, PA",2010.0,1.90215581
"Berks County, PA",2011.0,1.9159270699999997
"Berks County, PA",2012.0,1.9032875599999997
"Berks County, PA",2013.0,1.9052341300000002
"Berks County, PA",2014.0,1.90922544
"Berks County, PA",2015.0,1.8410660800000003
"Berkshire County, MA",2007.0,1.7124491000000002
"Berkshire County, MA",2008.0,1.66842053
"Berkshire County, MA",2009.0,1.57889174
"Berkshire County, MA",2010.0,1.6229932200000003
"Berkshire County, MA",2011.0,1.63150729
"Berkshire County, MA",2012.0,1.6104831100000003
"Berkshire County, MA",2013.0,1.4651898799999998
"Berkshire County, MA",2014.0,1.5322273199999998
"Berkshire County, MA",2015.0,1.4271045500000006
"Bernalillo County, NM",2007.0,2.107999199999999
"Bernalillo County, NM",2008.0,2.02226022
"Bernalillo County, NM",2009.0,1.9417110799999997
"Bernalillo County, NM",2010.0,1.81430568
"Bernalillo County, NM",2011.0,1.7785181000000003
"Bernalillo County, NM",2012.0,1.7524916200000005
"Bernalillo County, NM",2013.0,1.6961005400000007
"Bernalillo County, NM",2014.0,1.68075805
"Bernalillo County, NM",2015.0,1.66391934
"Berrien County, MI",2007.0,2.2071069
"Berrien County, MI",2008.0,2.1902533500000003
"Berrien County, MI",2009.0,2.1041378799999997
"Berrien County, MI",2010.0,2.1343199600000005
"Berrien County, MI",2011.0,2.0496963900000003
"Berrien County, MI",2012.0,2.15949365
"Berrien County, MI",2013.0,2.0658172900000005
"Berrien County, MI",2014.0,2.0669853499999995
"Berrien County, MI",2015.0,1.97815628
"Bexar County, TX",2007.0,2.2494925999999995
"Bexar County, TX",2008.0,2.19525884
"Bexar County, TX",2009.0,2.1427758
"Bexar County, TX",2010.0,2.0403037599999996
"Bexar County, TX",2011.0,1.9762575399999998
"Bexar County, TX",2012.0,1.97634642
"Bexar County, TX",2013.0,1.9800865699999994
"Bexar County, TX",2014.0,2.0082291800000003
"Bexar County, TX",2015.0,1.9836297900000004
"Bibb County, GA",2007.0,2.2474022000000002
"Bibb County, GA",2008.0,2.34969903
"Bibb County, GA",2009.0,2.22119855
"Bibb County, GA",2010.0,2.1672867900000004
"Bibb County, GA",2011.0,2.10345874
"Bibb County, GA",2012.0,2.03627415
"Bibb County, GA",2013.0,2.04194181
"Bibb County, GA",2014.0,2.10150123
"Bibb County, GA",2015.0,2.03565286
"Black Hawk County, IA",2007.0,1.8874602399999998
"Black Hawk County, IA",2008.0,1.8935194500000003
"Black Hawk County, IA",2009.0,1.79392245
"Black Hawk County, IA",2010.0,1.71327106
"Black Hawk County, IA",2011.0,1.6700825300000004
"Black Hawk County, IA",2012.0,1.76185828
"Black Hawk County, IA",2013.0,1.73217363
"Black Hawk County, IA",2014.0,1.83248981
"Black Hawk County, IA",2015.0,1.8849169899999996
"Blair County, PA",2007.0,1.9537357200000003
"Blair County, PA",2008.0,1.9256597799999997
"Blair County, PA",2009.0,1.9631735000000003
"Blair County, PA",2010.0,1.92587536
"Blair County, PA",2011.0,1.7582264600000004
"Blair County, PA",2012.0,1.82167978
"Blair County, PA",2013.0,1.8704952700000002
"Blair County, PA",2014.0,1.7820066300000001
"Blair County, PA",2015.0,1.8193079900000002
"Blount County, TN",2007.0,1.92107534
"Blount County, TN",2008.0,1.9449434700000001
"Blount County, TN",2009.0,1.8118187899999998
"Blount County, TN",2010.0,1.6582499899999998
"Blount County, TN",2011.0,1.7936878500000004
"Blount County, TN",2012.0,1.7674208300000007
"Blount County, TN",2013.0,1.8202633500000003
"Blount County, TN",2014.0,1.7917742999999997
"Blount County, TN",2015.0,1.6757439900000002
"Bonneville County, ID",2014.0,2.563430749999999
"Bonneville County, ID",2015.0,2.6504712599999998
"Boone County, KY",2014.0,2.160087399999999
"Boone County, KY",2015.0,2.08737898
"Boone County, MO",2007.0,1.65660529
"Boone County, MO",2008.0,1.5500517299999996
"Boone County, MO",2009.0,1.6056375400000003
"Boone County, MO",2010.0,1.47889029
"Boone County, MO",2011.0,1.5627915199999998
"Boone County, MO",2012.0,1.5287094200000002
"Boone County, MO",2013.0,1.53040361
"Boone County, MO",2014.0,1.5229433
"Boone County, MO",2015.0,1.4512977800000002
"Bossier Parish, LA",2014.0,2.0459991899999994
"Bossier Parish, LA",2015.0,2.1135408800000004
"Boulder County, CO",2007.0,1.7062032899999995
"Boulder County, CO",2008.0,1.58353102
"Boulder County, CO",2009.0,1.5960521300000001
"Boulder County, CO",2010.0,1.5116026000000002
"Boulder County, CO",2011.0,1.4345223800000002
"Boulder County, CO",2012.0,1.4900218199999997
"Boulder County, CO",2013.0,1.4433471100000002
"Boulder County, CO",2014.0,1.3810321300000001
"Boulder County, CO",2015.0,1.3819748800000002
"Brazoria County, TX",2007.0,2.4629103400000005
"Brazoria County, TX",2008.0,2.5599123899999996
"Brazoria County, TX",2009.0,2.50752373
"Brazoria County, TX",2010.0,2.4158903399999994
"Brazoria County, TX",2011.0,2.10156988
"Brazoria County, TX",2012.0,2.1919151800000005
"Brazoria County, TX",2013.0,2.1860826700000002
"Brazoria County, TX",2014.0,2.1672569600000005
"Brazoria County, TX",2015.0,2.1724211799999997
"Brazos County, TX",2007.0,1.8538743700000002
"Brazos County, TX",2008.0,1.6876722400000006
"Brazos County, TX",2009.0,1.6114909599999998
"Brazos County, TX",2010.0,1.6357193799999998
"Brazos County, TX",2011.0,1.57532846
"Brazos County, TX",2012.0,1.52353401
"Brazos County, TX",2013.0,1.5441153900000002
"Brazos County, TX",2014.0,1.6049182000000004
"Brazos County, TX",2015.0,1.6202102899999997
"Brevard County, FL",2007.0,2.05705484
"Brevard County, FL",2008.0,1.9492553700000008
